"M_T","lia_080314_039_pos","lia_080314_040_pos","lia_080314_041_pos","lia_080314_042_pos","lia_080314_043_pos","lia_080314_044_pos","lia_080314_045_pos","lia_080314_046_pos","lia_080314_047_pos","lia_080314_048_pos"
"122.9268_0.252",0.238188448,0.157246292,0.416911894,0.26864582,0.241911298,0.275710377,0.205290303,0.419433452,0.219456456,0.370678942
"172.0986_2.1915",0.039540219,0.146577122,0.10605777,0.106422905,0,0.060248172,0.165548543,0.111008387,0.023596501,0.176408432
"120.0818_1.7079",0.175459229,0.168061554,0.188618852,0.143926352,0.388460746,0.141454139,0.047013485,0.099752869,0.094978047,0.054077024
"166.0815_0.338",0.142880445,0.149671624,0.177697613,0.181045842,0.306209049,0.216987131,0.159064646,0.178046216,0.192113502,0.191601101
"204.1312_0.3524",0.11364031,0.078017748,0.143978799,0.133828092,0.099376108,0.122150961,0.110074617,0.198515181,0.126967362,0.218155899
"170.062_4.1326",0.55663599,0.187775168,0,0.006913036,0.134727109,0.036748833,0.130939869,0.159783144,0.497411584,0.090592319
"126.0867_0.3477",0.044028582,0.125960391,0.143679793,0.199270301,0.074182573,0.088788761,0.122312102,0.236894173,0.082919297,0.260484477
"151.1248_3.5112",0,0.09749673,0.062970827,0.092623871,0.101995237,0.088518918,0.077998498,0.043722918,0.108793983,0.051090943
"177.1649_4.3057",0.164585603,0.094495196,0.103654969,0.014022558,1.032737672,0.625765601,0.354146296,0.217926282,0.693870688,0.150101749
"460.1277_3.5202",0.026064605,0.054720443,0,0.056787845,0.045406951,0.040332095,0.045287932,0.034722822,0,0
"228.1604_5.3734",0.040079559,0.143854492,0.140852145,0.115582002,0.051112188,0.09078016,0.168868926,0.06816427,0.069740401,0.082314213
"160.0981_2.2956",0.283906086,0.292746957,0.107694773,0.276982924,0.194192667,0.26354653,0.239846687,0.154201738,0.309413971,0.150127866
"105.0707_3.8259",0.623943025,0.271875671,0.004135529,0.018995978,0.048875921,0.019911893,0.253691203,0.061471662,0.374264089,0.03291328
"175.0806_2.7923",0,0.141018972,0.074683678,0.087434137,0.024509022,0.043346386,0.107210896,0,0.044024383,0.121403154
"82.0144_0.2295",0.187895626,0.003734209,0,0.002640834,0.007506432,0.009017772,0.005371874,0,0.006922177,0.002452853
"175.1496_5.735",0.305277116,0.158744845,0.313921622,0.252384412,0.214580113,0.206530197,0.209229445,0.320611453,0.192279274,0.284428629
"311.1619_2.2936",0.309034081,0.312462785,0.165897641,0.295933837,0.148182417,0.187858745,0.140986424,0.088130337,0.226748069,0.070633236
"316.138_4.4161",0,0,0,0,0,0,0.294478752,0.065727246,0.882566913,0.031110095
"151.1127_5.7345",0.074339505,0.116904878,0.067060107,0.113016878,0.125257055,0.141619392,0.187804695,0.112379927,0.223044242,0.133510714
"76.0397_4.1201",0.023991434,0.12200483,0.070366379,0.068816708,0.039869943,0.052523135,0.102616392,0.039937214,0.044474336,0.046937199
"201.9364_0.2963",0.154153972,0.135600274,0.142476241,0.150266156,0.156738821,0.201499406,0.214895883,0.252605926,0.177234255,0.190406233
"216.1373_4.2959",0.33766121,0.162828791,0.039625791,0.083565721,0.302702373,0.144512358,0.098781829,0.050129788,0.115600119,0.019903584
"164.0721_3.1297",0.405618084,0.163596882,0.074699811,0.009930617,1.178167537,0.177736499,0.076970137,0.176374969,0.3822851,0.110042114
"225.1128_3.4119",0.185917168,0.135854828,0.175931543,0.14297457,0.16782734,0.153931757,0.162700508,0.179410136,0.183545443,0.124889818
"116.1082_0.3406",0.088020332,0.161987653,0.151906753,0.197559617,0.109980248,0.129428351,0.089024609,0.127087154,0.110911132,0.103946982
"238.1445_4.3893",0.047401432,0.257957053,0.018699691,0.126395902,0.203741034,0.109332379,0.109888118,0.020164178,0.209616687,0.039908372
"193.1603_5.7381",0.276555273,0.15123437,0.289764538,0.242749424,0.206351462,0.193816206,0.193943482,0.303185275,0.190638129,0.282814795
"127.0404_2.1641",0.277041995,0.221139565,0.119576487,0.159892131,0.162557176,0.193190756,0.235105773,0.258032399,0.191047823,0.391836157
"174.1239_0.3488",0.091243219,0.142209846,0.186555927,0.179946246,0.157559656,0.129520391,0.135536115,0.114620109,0.106951542,0.140284897
"226.1092_2.1061",0.465371724,0.372537735,0.064549749,0.274392563,0.629034925,0.339522985,0.26163572,0.109973382,0.359001198,0.052641659
"295.2284_5.7305",0.269075544,0.149959382,0.304858951,0.233936429,0.212729609,0.175548471,0.183581447,0.313292763,0.183104962,0.284805154
"228.0654_4.1224",0.525254279,0.203090517,0,0,0.007570242,0.005593487,0.193119051,0.092369412,0.30971473,0.060230921
